0;0;0;
133,25;0;0;
-125,63;56,05;46,04;
-125,63;56,05;46,04;
117,91;76,98;7,4;
117,91;76,98;7,4;
235,17;101,19;-84,3;
235,17;101,19;-84,3;
-240,65;128,67;0,72;
245,96;159,4;132,69;
245,96;159,4;132,69;
-251,1;193,36;-20,72;
-251,1;193,36;-20,72;
256,06;230,53;-188,89;
256,06;230,53;-188,89;
-259,11;270,89;56,11;
254,27;314,4;249,66;
254,27;314,4;249,66;
-249,24;361,05;-109,78;
-249,24;361,05;-109,78;
244,04;410,79;-310,95;
244,04;410,79;-310,95;
37,12;463,6;183,78;
-302,8;519,44;368,07;
-302,8;519,44;368,07;
300,39;640,08;-415,83;
300,39;640,08;-415,83;
-12,11;704,8;396,23;
-215,52;772,39;448,8;
-215,52;772,39;448,8;
-143,52;842,82;-533,58;
-143,52;842,82;-533,58;
75,48;916,03;-461,48;
75,48;916,03;-461,48;
257,51;991,98;689,01;
-266,94;1070,62;448,61;
-266,94;1070,62;448,61;
271,29;1151,9;-858,98;
271,29;1151,9;-858,98;
-242,25;1235,77;-405,35;
-242,25;1235,77;-405,35;
-120,46;1322,16;1038,87;
112,69;1502,32;-1222,99;
112,69;1502,32;-1222,99;
-314,84;1595,96;-211,91;
-314,84;1595,96;-211,91;
-244,23;1691,9;1404,74;
-244,23;1691,9;1404,74;
-53,98;1790,08;56,31;
310,35;1890,42;-1576,82;
310,35;1890,42;-1576,82;
-155,49;1992,87;140,18;
-155,49;1992,87;140,18;
312,78;2097,36;1731,43;
312,78;2097,36;1731,43;
211,67;2203,82;-377,04;
211,67;2203,82;-377,04;
6,87;2312,19;-1860,5;
-298,77;2422,38;652,3;
-298,77;2422,38;652,3;
194,79;2647,97;-962,45;
194,79;2647,97;-962,45;
309,39;2763,22;-2010,05;
309,39;2763,22;-2010,05;
272,43;2880,01;1302,46;
102,02;2998,26;2015,55;
102,02;2998,26;2015,55;
-314,97;3117,9;-1665,83;
-314,97;3117,9;-1665,83;
-234,84;3238,84;-1966,09;
-234,84;3238,84;-1966,09;
240,33;3361,01;2044,71;
240,33;3361,01;2044,71;
307,55;3484,33;1856,43;
-167,91;3608,72;-2430,05;
-167,91;3608,72;-2430,05;
-194,21;3860,38;2811,8;
-194,21;3860,38;2811,8;
-153,53;3987,49;1442,38;
-153,53;3987,49;1442,38;
-265,17;4115,34;-3179,18;
-308,85;4243,85;-1135,02;
-308,85;4243,85;-1135,02;
307,09;4372,94;3520,9;
307,09;4372,94;3520,9;
-37,61;4502,51;761,78;
29,3;4632,49;-3825,53;
29,3;4632,49;-3825,53;
227,75;4762,8;-325,83;
227,75;4762,8;-325,83;
-221,9;4893,34;4081,79;
-221,9;4893,34;4081,79;
-135,58;5024,03;-167,74;
84,05;5154,79;-4278,88;
84,05;5154,79;-4278,88;
-75,96;5285,54;711,9;
-75,96;5285,54;711,9;
-196,94;5416,18;4406,83;
29,17;5546,64;-1297,82;
29,17;5546,64;-1297,82;
238,9;5676,82;-4456,8;
238,9;5676,82;-4456,8;
